"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 13:20:15 GMT 2025","Mon Aug 18 13:20:35 GMT 2025","20153","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"passed","Mon Aug 18 13:21:01 GMT 2025","Mon Aug 18 13:21:19 GMT 2025","18675","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"passed","Mon Aug 18 13:23:49 GMT 2025","Mon Aug 18 13:24:12 GMT 2025","23011","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"passed","Mon Aug 18 13:24:14 GMT 2025","Mon Aug 18 13:24:35 GMT 2025","21457","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"passed","Mon Aug 18 13:23:00 GMT 2025","Mon Aug 18 13:23:21 GMT 2025","21887","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"passed","Mon Aug 18 13:19:35 GMT 2025","Mon Aug 18 13:19:55 GMT 2025","19995","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
"passed","Mon Aug 18 13:23:24 GMT 2025","Mon Aug 18 13:23:46 GMT 2025","22583","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"passed","Mon Aug 18 13:19:10 GMT 2025","Mon Aug 18 13:19:29 GMT 2025","18522","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Mon Aug 18 13:20:37 GMT 2025","Mon Aug 18 13:20:56 GMT 2025","18217","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"passed","Mon Aug 18 13:19:58 GMT 2025","Mon Aug 18 13:20:18 GMT 2025","20076","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"passed","Mon Aug 18 13:19:31 GMT 2025","Mon Aug 18 13:19:50 GMT 2025","19022","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"passed","Mon Aug 18 13:18:49 GMT 2025","Mon Aug 18 13:19:08 GMT 2025","19015","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"passed","Mon Aug 18 13:17:55 GMT 2025","Mon Aug 18 13:18:06 GMT 2025","10175","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Mon Aug 18 13:19:52 GMT 2025","Mon Aug 18 13:20:13 GMT 2025","20684","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualUpdation","individualUpdation",""
"passed","Mon Aug 18 13:23:24 GMT 2025","Mon Aug 18 13:23:46 GMT 2025","22700","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"passed","Mon Aug 18 13:18:04 GMT 2025","Mon Aug 18 13:18:24 GMT 2025","19769","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"passed","Mon Aug 18 13:21:19 GMT 2025","Mon Aug 18 13:21:38 GMT 2025","18979","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"passed","Mon Aug 18 13:22:34 GMT 2025","Mon Aug 18 13:22:58 GMT 2025","23205","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserUpdation","registrationPortalUserUpdation",""
"passed","Mon Aug 18 13:20:58 GMT 2025","Mon Aug 18 13:21:17 GMT 2025","18617","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Mon Aug 18 13:18:26 GMT 2025","Mon Aug 18 13:18:46 GMT 2025","20686","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"passed","Mon Aug 18 13:18:51 GMT 2025","Mon Aug 18 13:19:12 GMT 2025","20260","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
