"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 07:29:27 GMT 2025","Fri Aug 15 07:29:48 GMT 2025","21042","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindDeletion","groupMembershipKindDeletion",""
"passed","Fri Aug 15 07:30:27 GMT 2025","Fri Aug 15 07:30:50 GMT 2025","23075","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"passed","Fri Aug 15 07:24:43 GMT 2025","Fri Aug 15 07:25:02 GMT 2025","19525","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"passed","Fri Aug 15 07:25:04 GMT 2025","Fri Aug 15 07:25:22 GMT 2025","17890","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"passed","Fri Aug 15 07:26:36 GMT 2025","Fri Aug 15 07:26:55 GMT 2025","18778","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"passed","Fri Aug 15 07:25:49 GMT 2025","Fri Aug 15 07:26:12 GMT 2025","23111","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
"passed","Fri Aug 15 07:28:31 GMT 2025","Fri Aug 15 07:28:58 GMT 2025","27073","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","revokePortalAccess","revokePortalAccess",""
"passed","Fri Aug 15 07:27:14 GMT 2025","Fri Aug 15 07:27:32 GMT 2025","18376","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Fri Aug 15 07:23:44 GMT 2025","Fri Aug 15 07:24:04 GMT 2025","19490","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"passed","Fri Aug 15 07:23:44 GMT 2025","Fri Aug 15 07:24:13 GMT 2025","28425","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"passed","Fri Aug 15 07:30:39 GMT 2025","Fri Aug 15 07:31:01 GMT 2025","22258","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"passed","Fri Aug 15 07:24:41 GMT 2025","Fri Aug 15 07:25:01 GMT 2025","19938","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"passed","Fri Aug 15 07:29:40 GMT 2025","Fri Aug 15 07:30:01 GMT 2025","21463","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"passed","Fri Aug 15 07:29:51 GMT 2025","Fri Aug 15 07:30:13 GMT 2025","22589","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"passed","Fri Aug 15 07:28:49 GMT 2025","Fri Aug 15 07:29:13 GMT 2025","24596","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"passed","Fri Aug 15 07:29:00 GMT 2025","Fri Aug 15 07:29:25 GMT 2025","24301","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserUpdation","registrationPortalUserUpdation",""
"passed","Fri Aug 15 07:27:42 GMT 2025","Fri Aug 15 07:28:00 GMT 2025","18692","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"passed","Fri Aug 15 07:27:20 GMT 2025","Fri Aug 15 07:27:39 GMT 2025","19602","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"passed","Fri Aug 15 07:25:05 GMT 2025","Fri Aug 15 07:25:23 GMT 2025","18641","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"passed","Fri Aug 15 07:29:16 GMT 2025","Fri Aug 15 07:29:37 GMT 2025","21003","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"passed","Fri Aug 15 07:30:52 GMT 2025","Fri Aug 15 07:31:35 GMT 2025","42885","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserDeletion","registrationPortalUserDeletion",""
"passed","Fri Aug 15 07:26:07 GMT 2025","Fri Aug 15 07:26:27 GMT 2025","20708","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualUpdation","individualUpdation",""
"passed","Fri Aug 15 07:28:20 GMT 2025","Fri Aug 15 07:28:46 GMT 2025","26309","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"passed","Fri Aug 15 07:24:15 GMT 2025","Fri Aug 15 07:24:39 GMT 2025","24008","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"passed","Fri Aug 15 07:24:07 GMT 2025","Fri Aug 15 07:24:18 GMT 2025","11593","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Fri Aug 15 07:27:58 GMT 2025","Fri Aug 15 07:28:17 GMT 2025","19039","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"passed","Fri Aug 15 07:25:46 GMT 2025","Fri Aug 15 07:26:05 GMT 2025","19077","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"passed","Fri Aug 15 07:28:03 GMT 2025","Fri Aug 15 07:28:29 GMT 2025","25600","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","grantPortalAccess","grantPortalAccess",""
"passed","Fri Aug 15 07:25:24 GMT 2025","Fri Aug 15 07:25:43 GMT 2025","18773","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Fri Aug 15 07:30:04 GMT 2025","Fri Aug 15 07:30:24 GMT 2025","20599","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"passed","Fri Aug 15 07:26:51 GMT 2025","Fri Aug 15 07:27:11 GMT 2025","20143","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"passed","Fri Aug 15 07:24:21 GMT 2025","Fri Aug 15 07:24:40 GMT 2025","19547","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"passed","Fri Aug 15 07:27:35 GMT 2025","Fri Aug 15 07:27:56 GMT 2025","20643","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"passed","Fri Aug 15 07:30:16 GMT 2025","Fri Aug 15 07:30:36 GMT 2025","20764","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"passed","Fri Aug 15 07:26:15 GMT 2025","Fri Aug 15 07:26:34 GMT 2025","18604","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
