"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 10:26:17 GMT 2025","Thu Aug 14 10:26:39 GMT 2025","21463","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"passed","Thu Aug 14 10:28:30 GMT 2025","Thu Aug 14 10:28:52 GMT 2025","22792","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"passed","Thu Aug 14 10:26:30 GMT 2025","Thu Aug 14 10:26:50 GMT 2025","19846","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"passed","Thu Aug 14 10:25:06 GMT 2025","Thu Aug 14 10:25:25 GMT 2025","19717","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"passed","Thu Aug 14 10:27:14 GMT 2025","Thu Aug 14 10:27:31 GMT 2025","17330","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Thu Aug 14 10:29:20 GMT 2025","Thu Aug 14 10:29:41 GMT 2025","21032","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"passed","Thu Aug 14 10:26:05 GMT 2025","Thu Aug 14 10:26:27 GMT 2025","22170","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualUpdation","individualUpdation",""
"passed","Thu Aug 14 10:24:19 GMT 2025","Thu Aug 14 10:24:38 GMT 2025","19021","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"passed","Thu Aug 14 10:26:52 GMT 2025","Thu Aug 14 10:27:12 GMT 2025","19359","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"passed","Thu Aug 14 10:27:54 GMT 2025","Thu Aug 14 10:28:20 GMT 2025","26045","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","grantPortalAccess","grantPortalAccess",""
"passed","Thu Aug 14 10:29:43 GMT 2025","Thu Aug 14 10:30:05 GMT 2025","22136","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"passed","Thu Aug 14 10:27:44 GMT 2025","Thu Aug 14 10:28:01 GMT 2025","17628","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"passed","Thu Aug 14 10:28:55 GMT 2025","Thu Aug 14 10:29:18 GMT 2025","22854","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"passed","Thu Aug 14 10:30:07 GMT 2025","Thu Aug 14 10:30:30 GMT 2025","22758","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"passed","Thu Aug 14 10:25:01 GMT 2025","Thu Aug 14 10:25:21 GMT 2025","20497","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"passed","Thu Aug 14 10:24:16 GMT 2025","Thu Aug 14 10:24:36 GMT 2025","20358","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"passed","Thu Aug 14 10:25:52 GMT 2025","Thu Aug 14 10:26:15 GMT 2025","23241","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
